threshold,cache_hit_rate,precision,recall,f1_score,accuracy,correct_match_rate_when_hit
0.05,0.0,0.0,0.0,0.0,0.0,0.0
0.075,0.029411764705882353,1.0,0.029411764705882353,0.05714285714285714,0.029411764705882353,1.0
0.1,0.08823529411764706,1.0,0.08823529411764706,0.16216216216216217,0.08823529411764706,1.0
0.125,0.11764705882352941,1.0,0.11764705882352941,0.21052631578947367,0.11764705882352941,1.0
0.15,0.11764705882352941,1.0,0.11764705882352941,0.21052631578947367,0.11764705882352941,1.0
0.175,0.20588235294117646,1.0,0.20588235294117646,0.34146341463414637,0.20588235294117646,1.0
0.2,0.2647058823529412,1.0,0.2647058823529412,0.4186046511627907,0.2647058823529412,1.0
0.225,0.3235294117647059,1.0,0.3235294117647059,0.4888888888888889,0.3235294117647059,1.0
0.25,0.4117647058823529,1.0,0.4117647058823529,0.5833333333333334,0.4117647058823529,1.0
0.275,0.5294117647058824,1.0,0.5294117647058824,0.6923076923076923,0.5294117647058824,0.9444444444444444
0.3,0.6176470588235294,1.0,0.6176470588235294,0.7636363636363637,0.6176470588235294,0.8571428571428571
0.325,0.6764705882352942,1.0,0.6764705882352942,0.8070175438596491,0.6764705882352942,0.8695652173913043
0.35,0.7941176470588235,1.0,0.7941176470588235,0.8852459016393442,0.7941176470588235,0.7777777777777778
0.375,0.8235294117647058,1.0,0.8235294117647058,0.9032258064516129,0.8235294117647058,0.75
0.4,0.8823529411764706,1.0,0.8823529411764706,0.9375,0.8823529411764706,0.7
0.425,0.9411764705882353,1.0,0.9411764705882353,0.9696969696969697,0.9411764705882353,0.6875
0.45,0.9411764705882353,1.0,0.9411764705882353,0.9696969696969697,0.9411764705882353,0.6875
0.475,0.9705882352941176,1.0,0.9705882352941176,0.9850746268656716,0.9705882352941176,0.6666666666666666
0.5,1.0,1.0,1.0,1.0,1.0,0.6470588235294118
0.525,1.0,1.0,1.0,1.0,1.0,0.6470588235294118
0.55,1.0,1.0,1.0,1.0,1.0,0.6470588235294118
0.575,1.0,1.0,1.0,1.0,1.0,0.6470588235294118
0.6,1.0,1.0,1.0,1.0,1.0,0.6470588235294118
0.625,1.0,1.0,1.0,1.0,1.0,0.6470588235294118
0.65,1.0,1.0,1.0,1.0,1.0,0.6470588235294118
0.675,1.0,1.0,1.0,1.0,1.0,0.6470588235294118
0.7,1.0,1.0,1.0,1.0,1.0,0.6470588235294118
